"","IR11_1","IR11_2","IR11_3","IR11_4","IR11_5","IR11_6","IR11_7","IR11_8","IR11_9","IR11_10","IR12_1","IR12_2","IR12_3","IR12_4","IR12_5","IR12_6","IR12_7","IR12_8","IR12_9","IR12_10","IR21_1","IR21_2","IR21_3","IR21_4","IR21_5","IR21_6","IR21_7","IR21_8","IR21_9","IR21_10","IR22_1","IR22_2","IR22_3","IR22_4","IR22_5","IR22_6","IR22_7","IR22_8","IR22_9","IR22_10"
"1",6.75704247062504e-16,-2.45254596399321e-16,2.44852131996205e-15,2.74211982012062e-15,-1.19006042197349e-16,-8.17279781878872e-16,-5.0434553080757e-16,-1.12192056844998e-15,-6.00488836560863e-16,-2.49119233422299e-16,-9.86967571689599e-16,-1.8410060113472e-15,6.42510607279938e-16,2.39680033029992e-15,1.50408826339899e-16,3.28051149371523e-16,6.09186474929224e-16,-3.73534490219044e-16,-1.26586752415448e-15,-2.52065825156067e-15,1.74047503165721e-15,9.79565701081244e-18,2.78688435357674e-15,4.0818037742354e-15,6.33922549261383e-16,3.60052832378472e-16,-1.29795359884788e-16,-9.88877689808463e-16,3.67734098812021e-17,-1.71805944857995e-16,2.34803539428944e-17,-1.74924244676567e-15,6.04147723261618e-16,3.2717227277039e-15,7.73537958474386e-16,1.52298284272466e-15,1.4068435274773e-15,2.32284071728176e-17,-3.88835921127643e-16,-2.40780692767986e-15
"2",1.17534833831407e-15,-6.64818061579922e-16,5.1630747359252e-15,-1.03571147664293e-14,2.11731331562732e-14,-3.60424205713623e-14,7.65134972245262e-14,-1.42605058551363e-13,2.82777846714826e-13,-5.4216859701944e-13,7.15561892285709e-15,-2.05083384093705e-14,4.72442631815932e-14,-9.45731483415846e-14,1.81129733902071e-13,-3.52972568260623e-13,6.9148489678621e-13,-1.34468519888285e-12,2.60494871375902e-12,-5.0403471377967e-12,-8.01867107751781e-16,-3.43303638079657e-15,5.29633055170664e-16,-1.22593227977097e-14,1.18036888080259e-14,-3.86192030496654e-14,5.59232243295683e-14,-1.30927716846513e-13,2.26358026435996e-13,-4.67277725258936e-13,5.73690559296661e-15,-1.49387183780388e-14,3.67293322639403e-14,-7.50401451503857e-14,1.5513839130716e-13,-2.97637529990724e-13,5.86468842527475e-13,-1.12925077636722e-12,2.19246692148092e-12,-4.22887957010314e-12
"3",-6.73664774870349e-15,-1.83578826086201e-13,-7.44744375504585e-13,-2.75318517633648e-12,-1.01444101070684e-11,-3.71538512769703e-11,-1.35841471583513e-10,-4.96074027760907e-10,-1.81135685215124e-09,-6.6133902169156e-09,8.87752775919454e-15,2.86456101042042e-14,1.06816402993661e-13,3.88919726895338e-13,1.41923840732924e-12,5.18408608965312e-12,1.89281297325067e-11,6.91092756021124e-11,2.52316090376556e-10,9.21221695412731e-10,-4.98006070909134e-16,-3.95626415476209e-13,-1.56487610979e-12,-5.81145459645937e-12,-2.14500005184669e-11,-7.85644428816781e-11,-2.87285740736589e-10,-1.04913438341479e-09,-3.83083270636599e-09,-1.39866246236104e-08,2.00732572143255e-14,5.99741887248355e-14,2.26559653814657e-13,8.22725531468176e-13,3.00119767433862e-12,1.09643613179749e-11,4.00312661491544e-11,1.46159598126944e-10,5.33622428366116e-10,1.94829134102724e-09
"4",4.61592853908229e-16,2.92544424531748e-16,1.43460547921091e-15,1.85169387460005e-15,-1.67884941393274e-16,3.33994014051194e-15,-1.01238457135973e-15,2.65293254440782e-15,-1.94973509060486e-15,3.23531326633343e-16,-3.2546852296284e-16,-1.23913600270227e-15,2.08891404901907e-16,1.45962014311479e-15,-3.44541972008856e-15,4.33641274730624e-15,-3.91086642246231e-15,4.9308264689382e-15,-2.55015195785527e-15,1.59931460196795e-15,9.4380474629965e-16,-8.86935621920512e-16,-7.82360693193744e-16,-1.43353259318941e-15,-7.02335199661651e-16,1.51385033975182e-15,7.86542990002334e-16,1.4427095317673e-16,-4.57245639534555e-15,-6.34344552183538e-16,2.33620658463816e-15,-7.5856796419387e-16,-1.40619893343124e-17,-1.15683033474848e-15,-8.0598728751859e-16,3.2277621484035e-15,1.32980883693188e-15,1.5417602601174e-15,-7.92629456895269e-15,-1.67279076842385e-15
"5",-2.45659498469178e-15,1.19333593971299e-13,-1.45070955610993e-13,2.5654638159956e-13,-1.24942415647145e-13,1.94710899411801e-14,2.64441241900554e-14,4.83718379732413e-15,-2.08898189562482e-13,4.58457283376548e-13,-8.49941579161849e-15,1.6971507718409e-14,-3.02213073045596e-14,3.49880355519932e-14,-1.76305320589631e-14,4.25806150267328e-15,1.40545122941129e-15,1.32971876651295e-14,-5.0680714273486e-14,8.49109284337318e-14,1.4327147023666e-14,-1.74303731876774e-13,1.97533517826784e-13,-3.35162923207362e-13,1.86576434706595e-13,-7.09037186859518e-14,4.42334002223331e-14,-8.0333983666977e-14,3.12905234868381e-13,-6.33373354121981e-13,1.34454798828435e-14,-2.48249020902971e-14,4.0562523527037e-14,-4.72244424645973e-14,2.75912169733101e-14,-1.42087067925253e-14,1.14437116087999e-14,-2.86649129975792e-14,7.33737082656764e-14,-1.17915072534622e-13
"6",3.69377704807227e-15,-2.64429716309923e-15,-9.69322059112256e-17,3.78277204383598e-15,6.72070719505966e-15,8.73058092607752e-16,-9.93672962854961e-15,7.9223982624861e-15,1.62418551707539e-14,-2.81720299520567e-15,5.48530891368663e-16,-3.57199928058089e-16,9.03863140474866e-15,-1.02291397929432e-14,-2.35287530539219e-15,6.52101211046102e-15,4.80517165921015e-15,-1.40150851859268e-15,-1.70193353207698e-14,9.78352568204429e-15,1.65713828702594e-15,-3.24605666327942e-15,1.70120313130004e-15,5.00805969542221e-15,3.01372793324393e-15,-1.66004971337164e-15,-5.68578573228215e-15,1.03951948353609e-14,9.9279033956263e-15,-1.01018094597063e-14,3.70456772403862e-15,1.89243250793619e-16,5.34908928253753e-15,-8.85983251960696e-15,1.50583016361535e-16,8.25161129620979e-15,8.48592025039643e-16,-4.21081558717108e-15,-7.87159426113424e-15,1.53817447478833e-14
"7",5.06863399932566e-15,5.88251964737869e-14,-1.24502067020771e-13,2.68079296340515e-13,-1.81332098045398e-13,-3.88442620092473e-13,2.27089012794014e-12,-5.6594463227393e-12,9.13739882299562e-12,-5.6259915497904e-12,-1.63664017992921e-14,4.6441376270776e-14,-9.21351005691482e-14,7.96025672814187e-14,1.23876189118819e-13,-7.69576786703373e-13,2.02368815563601e-12,-3.38253444460309e-12,2.45806386066895e-12,6.50873826104521e-12,6.11417990502227e-15,3.01262211775036e-14,-7.20387065852874e-14,1.79324496428382e-13,-1.87933025561006e-13,-6.32090016937104e-14,1.13490003351609e-12,-3.38604939538982e-12,6.42291848082903e-12,-6.54662222338379e-12,-7.7026057011974e-15,2.66576748999302e-14,-6.10809762273741e-14,7.48508006042092e-14,1.29914288180865e-14,-3.75538601692197e-13,1.19699186439562e-12,-2.34068137553424e-12,2.58427819633013e-12,1.57154173700291e-12
"8",1.1237603756312e-15,-1.01509946286919e-14,-3.01256042491313e-13,-4.05081337285419e-12,-5.55721267973186e-11,-7.59692608445129e-10,-1.03863884602263e-08,-1.41997190198377e-07,-1.94131340771958e-06,-2.65406446132061e-05,7.35933399593544e-15,7.64144573122068e-14,1.08085337229944e-12,1.4747827371213e-11,2.01650672235857e-10,2.75681585738299e-09,3.76898450612621e-08,5.1527622146464e-07,7.04459333681087e-06,9.63100805128154e-05,2.94176880331484e-14,2.08904314760302e-13,3.28000561658574e-12,4.45237864868825e-11,6.09058269616049e-10,8.32652335542741e-09,1.13836439409643e-07,1.55631309809536e-06,2.12771183087662e-05,0.000290889888909313,-6.87991970689547e-14,-8.59084754593871e-13,-1.18289559812583e-11,-1.61652603378148e-10,-2.21009495893802e-09,-3.02151984767278e-08,-4.13086938195051e-07,-5.64751333570507e-06,-7.72099170285118e-05,-0.0010555745347795
"9",4.00452138735666e-15,8.6356663564892e-16,2.2506558793083e-14,-3.81526075086093e-15,4.0031915137527e-14,-7.14368042425316e-14,1.6479366331991e-13,-3.0855458323179e-13,6.50335948004358e-13,-1.30102184678028e-12,-8.66901901928773e-15,1.82219982258773e-15,-1.16516433435822e-14,2.76921083026011e-14,-5.40269097444118e-14,1.09264613682083e-13,-2.15053722502736e-13,4.39656317247215e-13,-8.84193905281857e-13,1.78712328163813e-12,-2.65675858052911e-16,-3.12116115762938e-16,-9.15664602821832e-15,3.68431144552482e-15,-1.92881171117663e-14,3.8611068426849e-14,-8.17005424954324e-14,1.57135897565846e-13,-3.28930807099606e-13,6.5998471673284e-13,4.1284040026764e-15,-1.56020322960753e-15,6.18272248979679e-15,-1.41546517167895e-14,2.71203854260524e-14,-5.44569085593341e-14,1.09720858288537e-13,-2.22749113032006e-13,4.48104521645508e-13,-9.06458490779142e-13
"10",-1.39772492168047e-15,-1.07439022094507e-14,-2.85505062471212e-14,-7.06866144584048e-14,-1.61325497475653e-13,-3.64318917885595e-13,-8.220576253224e-13,-1.8423969833524e-12,-4.10670963017779e-12,-9.14669105028629e-12,-8.20683717288492e-16,5.77113725277985e-15,9.90437899134988e-15,2.20240095308212e-14,4.63031323934626e-14,1.02769305554089e-13,2.33862593958305e-13,5.23633404161495e-13,1.15925751805853e-12,2.57346935628055e-12,-3.75744268807097e-15,-1.44263609520749e-14,-3.14758376314882e-14,-7.29439991103531e-14,-1.66872226227602e-13,-3.81019387492341e-13,-8.52963256426277e-13,-1.90243976344956e-12,-4.23637507063294e-12,-9.44256663900627e-12,1.66732345771001e-15,7.70933382020849e-15,8.88913792139275e-15,2.06476822793709e-14,4.73430475985796e-14,1.11439900556009e-13,2.42588122447731e-13,5.36935336635438e-13,1.19200810622228e-12,2.6601281237653e-12
"11",-1.64325347499808e-16,-4.63131628020111e-16,-2.33439834856546e-15,-9.7939546711658e-15,-4.05032482210744e-14,-1.64513409677822e-13,-6.66398092241797e-13,-2.69745955318378e-12,-1.09182490308373e-11,-4.4192012916799e-11,-3.11271896135661e-16,-1.22564773213567e-15,-5.38116395286404e-15,-2.15245226828203e-14,-8.715807135827e-14,-3.52547082677671e-13,-1.42670300168239e-12,-5.77463187414881e-12,-2.33728044406306e-11,-9.46028084301624e-11,-3.55484742659011e-17,1.55702393818488e-15,9.50607396337447e-15,3.96403564513617e-14,1.63007354235802e-13,6.62187698317306e-13,2.68125265157766e-12,1.08527353785789e-11,4.39258627883485e-11,1.77791376095661e-10,1.53910132392891e-15,5.34089169809668e-15,2.16053323762097e-14,8.6760362949543e-14,3.50748511589147e-13,1.41854621171333e-12,5.73966743444006e-12,2.32321519639355e-11,9.4032361051736e-11,3.8060187777073e-10
"12",1.23416109716918e-15,6.70302128324307e-14,8.54097705555438e-13,1.01590046244142e-11,1.19415799937808e-10,1.40288966713245e-09,1.6480322666259e-08,1.93600632241537e-07,2.27429869710464e-06,2.67170311950043e-05,-6.10314550837089e-15,-5.60615928758182e-14,-6.55777848798015e-13,-7.6880926580559e-12,-9.03204827693734e-11,-1.0610264386739e-09,-1.24642752627113e-08,-1.46422446545673e-07,-1.72007882656059e-06,-2.02064043738157e-05,8.84294773963837e-16,1.55664580763275e-14,1.88788395067271e-13,2.23000556597132e-12,2.62119601715346e-11,3.07933855196499e-10,3.61742756962162e-09,4.24952786162043e-08,4.99207836054387e-07,5.86437977255833e-06,-1.1323481629094e-15,-1.22668992198783e-14,-1.43730728245568e-13,-1.68776179829196e-12,-1.98251964414396e-11,-2.32895054150199e-10,-2.73590406661289e-09,-3.21396800740464e-08,-3.77556750115808e-07,-4.4352992748792e-06
"13",1.61287073867071e-15,-4.22259830207059e-15,1.59441998875311e-14,-5.60342530986957e-14,2.02799019306775e-13,-7.34489968015102e-13,2.66057094288193e-12,-9.63083644726209e-12,3.48647128122752e-11,-1.26209073286331e-10,1.36716430219544e-16,-1.91604222750091e-16,1.56743719383884e-15,-7.34829564403394e-15,2.6217885844161e-14,-9.34867128286155e-14,3.37923830450553e-13,-1.22216912620708e-12,4.42374519239744e-12,-1.60160441679688e-11,-1.06427337535433e-16,1.28250511925863e-16,1.92807283371396e-16,-4.1628333645874e-16,1.91549989463832e-15,-6.82120044873001e-15,2.42681132481286e-14,-8.8067854853235e-14,3.19081139920566e-13,-1.15473794246719e-12,3.30514330361076e-16,1.10558177943084e-16,1.40027877713945e-16,-1.38234566346618e-16,-1.08866078061414e-17,-7.30083082050774e-16,3.3727449350191e-15,-1.09430754562857e-14,4.06147066829762e-14,-1.46748335288445e-13
"14",-1.84830547408663e-15,-7.77727869728153e-15,-2.28029358058514e-14,-2.55557018685873e-14,-3.93477830166336e-14,-4.89766674558318e-14,-6.98506013463965e-14,-8.31107428434315e-14,-1.37699447897096e-13,-1.76491245821117e-13,4.1096348981575e-15,4.08684993617664e-15,5.72120423075877e-15,6.05876589234492e-15,1.06500529423492e-14,6.8538732860327e-15,1.79098232862141e-14,1.91757065683159e-14,3.61336495316352e-14,3.44410892910859e-14,2.37316159203182e-16,-3.5261714888205e-15,-1.24691768135006e-14,-1.39798217652128e-14,-2.06579070142271e-14,-2.54401167927735e-14,-3.47899060654609e-14,-4.06575496186684e-14,-6.98132556730071e-14,-8.95792352867404e-14,2.72423293077995e-15,2.55101661848631e-15,3.28952152065406e-15,3.56489447445503e-15,6.01791770644266e-15,3.25352843775636e-15,9.26380267412369e-15,1.00534133884207e-14,1.89320060834804e-14,1.76341400405368e-14
"15",1.29151248630543e-15,1.15418914636024e-14,1.20338084197408e-13,1.22999194463003e-12,1.26545737445873e-11,1.30237049969478e-10,1.34031000046857e-09,1.37934900839424e-08,1.41952564157575e-07,1.46087265976024e-06,5.77671858722511e-16,-3.42173258753023e-15,-4.43709052320893e-14,-4.6281986979659e-13,-4.75845726962718e-12,-4.89840062584863e-11,-5.04112976820121e-10,-5.18795010991934e-09,-5.33906135854341e-08,-5.49457422290845e-07,-2.90091885188047e-14,-2.92607188433168e-13,-3.01852629922159e-12,-3.10863170767956e-11,-3.19938831141342e-10,-3.29261403153951e-09,-3.38851512940404e-08,-3.48721428675757e-07,-3.58878763402851e-06,-3.69331943156403e-05,9.23089172103955e-15,1.1248980796141e-13,1.131666650275e-12,1.1691484546162e-11,1.20337713775917e-10,1.23840169772371e-09,1.27447452535591e-08,1.31159663857882e-07,1.34980007004452e-06,1.38911613280396e-05
"16",-1.34064054750599e-15,-8.47600327897298e-15,-2.39198373883791e-14,-2.63569415140997e-14,-2.11269691589412e-14,3.26061336020384e-14,2.49605476298893e-13,9.31542311247365e-13,2.85227598306744e-12,7.92169742677361e-12,-7.43803215880114e-15,-9.80734359361231e-15,-7.52680672948468e-15,-1.1713899493863e-14,-1.21032636949385e-14,1.28896176319752e-14,1.29658945298312e-13,4.83472448132419e-13,1.46417251558952e-12,4.0701028442344e-12,1.18335409822522e-15,2.46507806933314e-15,1.04236767701415e-14,5.02915549670442e-14,1.57770691568285e-13,4.42365646560496e-13,1.17290851343909e-12,2.9732999424682e-12,7.2926581171484e-12,1.74240884293245e-11,-2.72170799771549e-15,-9.3516739325615e-16,8.00278064800623e-15,2.65876129756387e-14,7.99836264984332e-14,2.26208969555982e-13,6.03828793205684e-13,1.52960935964822e-12,3.74541031094151e-12,8.9490872467321e-12
"17",1.42795108604368e-15,5.84962062703536e-17,2.76211017226315e-16,3.79984685873519e-16,2.4836662372427e-16,2.75592476114599e-16,4.17624412919283e-16,-2.64603754650656e-16,4.68420564810974e-16,4.57570824717211e-16,-1.66847540038754e-15,1.674818011026e-15,-1.15109560864342e-16,3.11763850757339e-16,3.42939856846751e-16,-8.62744363412927e-16,1.12262624878008e-16,1.35968000753117e-16,-7.39123140412994e-17,-1.77949261124383e-16,1.61538566998318e-15,5.43122723384217e-16,6.22919489430527e-16,1.85163259852252e-16,2.60021316313173e-16,5.00783073161693e-16,3.47580133924542e-16,-1.84782102872267e-16,4.98956862040729e-16,6.77132804040284e-16,-6.15611993409937e-16,1.31885675552117e-15,1.38275441440546e-16,1.42198868631961e-15,4.05593261208962e-16,-6.59031276976588e-16,-2.24619856084912e-16,5.91929893265079e-16,3.26190159220745e-16,-3.59532283385377e-16
"18",-6.13976634188291e-15,-3.7306221021064e-13,-7.04054297270306e-13,-1.35507545360827e-12,-1.46858919191932e-12,-2.11906003159745e-12,-3.0935475134705e-12,-6.93325389157955e-12,-1.32134917747432e-11,-2.5764039064095e-11,-5.96545136051508e-14,-7.93431713266018e-14,-1.52071884060503e-13,-9.04662978014596e-14,-1.48081189258334e-13,-1.7924270235249e-13,-6.41183939887943e-13,-1.24747681660963e-12,-2.6444624757755e-12,-3.95059295511773e-12,-1.18906094914762e-14,-2.50735551674546e-13,-5.35710223770488e-13,-1.13222894320633e-12,-1.29174629490695e-12,-1.72018727214306e-12,-2.53419717174316e-12,-5.4438209026406e-12,-1.03166577617222e-11,-2.03470692095099e-11,-3.79180339675285e-14,-6.33486433400801e-14,-1.32098167457652e-13,-8.79488261216074e-14,-1.15677210881937e-13,-1.53456610744773e-13,-4.83554686487951e-13,-9.5136541799849e-13,-2.08094416380241e-12,-3.27220345428159e-12
"19",1.51171069643601e-15,2.35372522384989e-14,-8.01644492320734e-14,-4.45010009369322e-14,-1.79918570193091e-13,-2.16475790595588e-13,-2.89496179674809e-13,-3.15110527331233e-13,-3.39452606774514e-13,-2.71000206270676e-13,-1.88854134615823e-14,1.52849874350985e-14,-1.25056054272726e-14,2.05124987636347e-14,-1.21828163357354e-15,1.22283570668267e-14,1.28865841460501e-15,4.61158348773696e-15,-2.44803799380434e-14,6.39247395302395e-15,-2.7278133585478e-15,4.66499755732243e-15,-6.02744138003732e-14,-5.08646992325944e-14,-1.36288931597119e-13,-1.63512816664556e-13,-2.13736310250201e-13,-2.25762126804015e-13,-2.44285686217489e-13,-2.0856930278403e-13,-1.04975771753565e-14,8.92046302207678e-15,-5.90485740983785e-15,1.30704659167069e-14,6.54320291759452e-17,8.41095756069229e-15,-4.5635871819705e-16,2.00471382410834e-15,-1.57018364664958e-14,1.53164594502808e-15
"20",2.22722861062691e-16,5.38564714119738e-16,-7.01910109481653e-17,3.76784150055604e-16,-5.13894061379832e-17,5.39516461195842e-16,2.13474743884477e-16,-1.49392315048727e-16,2.08568731970025e-16,-2.75794096914411e-17,3.38523519516919e-16,-2.86739502984632e-16,4.19752065223287e-16,-6.27092816724418e-16,2.80102210151693e-16,6.89674713980416e-17,-2.61463053370552e-16,2.1124812746881e-16,-2.7166989574008e-16,3.35900345915542e-16,-7.73740774078883e-16,-4.23306756669531e-16,-3.56314958492087e-16,2.94510605548811e-16,-5.69871797452031e-17,-1.13683831445766e-16,6.11472136121001e-19,-4.93384620975736e-17,2.19160510585561e-17,-2.49856155709036e-16,7.55255343238262e-16,-1.9068134337883e-16,6.99272717810488e-16,5.79456924203997e-16,-2.04816009050554e-17,-2.0256911474694e-16,2.20915265120437e-16,2.82465183876166e-16,3.28950516078933e-18,-5.01878861148544e-17
